Name, Has TP Support, Has Auto Solver
Denial Displays, TRUE, TRUE
Derivatives, TRUE, TRUE
Desert Bus, TRUE, TRUE
Destabilized Numbers, TRUE, TRUE
Determinants, TRUE, TRUE
DetoNATO, TRUE, TRUE
Devilish Calculations, TRUE, TRUE
Devilish Eggs, TRUE, TRUE
Dial Trial, TRUE, TRUE
Dice Cipher, TRUE, TRUE
Dice Stack, TRUE, TRUE
Diffusion, TRUE, TRUE
Digisibility, TRUE, TRUE
Digit Dilemma, TRUE, TRUE
Digit Sum, TRUE, TRUE
Digital Cipher, TRUE, TRUE
Digital Clock, TRUE, TRUE
Digital Dials, TRUE, TRUE
Digital Grid, TRUE, TRUE
Digital Root, TRUE, TRUE
Dimension Disruption, TRUE, TRUE
Dimension King, TRUE, TRUE
DingBats, TRUE, TRUE
Diophantine Equations, TRUE, TRUE
Directing Buttons, TRUE, TRUE
Directional Button, TRUE, TRUE
Discharge Maze, TRUE, TRUE
Discolored Cube, TRUE, TRUE
Discolored Squares, TRUE, TRUE
Disordered Keys, TRUE, TRUE
Distance Cipher, TRUE, TRUE
Divided Squares, TRUE, TRUE
Divisible Numbers, TRUE, TRUE
DNA Mutation, TRUE, TRUE
Dominoes, TRUE, TRUE
Dominosa, TRUE, TRUE
Don't Touch Anything, TRUE, TRUE
Doofenshmirtz Evil Inc., TRUE, TRUE
Doomsday Button, TRUE, TRUE
Dot, TRUE, TRUE
Double Arrows, TRUE, TRUE
Double Digits, TRUE, TRUE
Double Expert, TRUE, TRUE
Double Knob, TRUE, TRUE
Double Listening, TRUE, TRUE
Double Pitch, TRUE, TRUE
Double Screen, TRUE, TRUE
Double-Oh, TRUE, TRUE
Double-On, TRUE, TRUE
Doubted Lying Buttons, TRUE, TRUE
Dr. Doctor, TRUE, TRUE
Dragon Energy, TRUE, TRUE
Dreamcipher, TRUE, TRUE
Drive-In Window, TRUE, TRUE
Driver Updates, TRUE, TRUE
Dual Buttons, TRUE, TRUE
Dual Sequences, TRUE, TRUE
Duck Konundrum, TRUE, TRUE
"Duck, Duck, Goose", TRUE, TRUE
Ducks, TRUE, TRUE
Dungeon, TRUE, TRUE
Dungeon 2nd Floor, TRUE, TRUE
Dyscalculator, TRUE, TRUE
Earth, TRUE, TRUE
Earthbound, TRUE, TRUE
Eavesdropping, TRUE, TRUE
Echolocation, TRUE, TRUE
Ed Balls, TRUE, TRUE
eeB gnillepS, TRUE, TRUE
egg, TRUE, TRUE
Egyptian Fractions, TRUE, TRUE
Eight, TRUE, TRUE
Eight Pages, TRUE, TRUE
Eight Tiles Panic, TRUE, TRUE
Elder Futhark, TRUE, TRUE
Elder Password, TRUE, TRUE
Emoji, TRUE, TRUE
Emoticon Math, TRUE, TRUE
Emotiguy Identification, TRUE, TRUE
ƎNA Cipher, TRUE, TRUE
Enchantment Table, TRUE, TRUE
Encoloryption, TRUE, TRUE
Encrypted Dice, TRUE, TRUE
Encrypted Equations, TRUE, TRUE
Encrypted Hangman, TRUE, TRUE
Encrypted Maze, TRUE, TRUE
Encrypted Memory, TRUE, TRUE
Encrypted Morse, TRUE, TRUE
Encrypted Timezones, TRUE, TRUE
Encrypted Values, TRUE, TRUE
Encryption Bingo, TRUE, TRUE
Encryption Lingo, TRUE, TRUE
English Entries, TRUE, TRUE
Enigma Cycle, TRUE, TRUE
Entry Number Four, TRUE, TRUE
Entry Number One, TRUE, TRUE
Épelle-moi Ça, TRUE, TRUE
Epic Shapes, TRUE, TRUE
Equations X, TRUE, TRUE
Eredan Duels, TRUE, TRUE
Etch-A-Sketch, TRUE, TRUE
Ethan's Dream, TRUE, TRUE
Etterna, TRUE, TRUE
European Travel, TRUE, TRUE
Even Or Odd, TRUE, TRUE
Evil Word Search, TRUE, TRUE
Exoplanets, TRUE, TRUE
Exploding Mittens, TRUE, TRUE
Extended Boolean Venn Diagram, TRUE, TRUE
Extended Button Order, TRUE, TRUE
Eye Sees All, TRUE, TRUE
F, TRUE, TRUE
Face Off, TRUE, TRUE
Face Perception, TRUE, TRUE
Facets & Logic, TRUE, TRUE
Factoring, TRUE, TRUE
Factoring Grid, TRUE, TRUE
Factoring Maze, TRUE, TRUE
Factory Code, TRUE, TRUE
Factory Cubes, TRUE, TRUE
Factory Maze, TRUE, TRUE
Faerie Fires, TRUE, TRUE
Fake Beans, TRUE, TRUE
Fast Boolean Venn Diagram, TRUE, TRUE
Fast Playfair Cipher, TRUE, TRUE
Faulty Accelerando, TRUE, TRUE
Faulty Backgrounds, TRUE, TRUE
Faulty Binary, TRUE, TRUE
Faulty Buttons, TRUE, TRUE
Faulty Chinese Counting, TRUE, TRUE
Faulty Colored Cube, TRUE, TRUE
Faulty Colour Flash, TRUE, TRUE
Faulty Cruel Flashing Rotating Squares, TRUE, TRUE
Faulty Digital Root, TRUE, TRUE
Faulty RGB Maze, TRUE, TRUE
Faulty Seven Segment Displays, TRUE, TRUE
Feature Cryptography, TRUE, TRUE
Fifteen, TRUE, TRUE
Fifty Blessings, TRUE, TRUE
Fillominordle, TRUE, TRUE
Find The Date, TRUE, TRUE
Find The Invisible Cow, TRUE, TRUE
Fingers, TRUE, TRUE
Finite Automata, TRUE, TRUE
Finite Loop, TRUE, TRUE
Fire Diamonds, TRUE, TRUE
Firework Crate, TRUE, TRUE
Fishing, TRUE, TRUE
Fitting In, TRUE, TRUE
Five Letter Words, TRUE, TRUE
FizzBoss, TRUE, TRUE
FizzBuzz, TRUE, TRUE
Flag Identification, TRUE, TRUE
Flamin' Finger, TRUE, TRUE
Flash Memory, TRUE, TRUE
Flashing Arrows, TRUE, TRUE
Flashing Circles, TRUE, TRUE
Flavor Text, TRUE, TRUE
Flavor Text EX, TRUE, TRUE
Flip The Coin, TRUE, TRUE
Flipping Squares, TRUE, TRUE
Floor Lights, TRUE, TRUE
Flowchart Madness, TRUE, TRUE
Flower Patch, TRUE, TRUE
Flyswatting, TRUE, TRUE
Follow Me, TRUE, TRUE
Follow the Leader, TRUE, TRUE
Following Orders, TRUE, TRUE
Font Select, TRUE, TRUE
Footnotes, TRUE, TRUE
Footover, TRUE, TRUE
Forest Cipher, TRUE, TRUE
Forget Any Color, TRUE, TRUE
Forget Enigma, TRUE, TRUE
Forget Everything, TRUE, TRUE
Forget Fractal, TRUE, TRUE
Forget Infinity, TRUE, TRUE
Forget It Not, TRUE, TRUE
Forget Maze Not, TRUE, TRUE
Forget Me Later, TRUE, TRUE
Forget Me Maybe, TRUE, TRUE
Forget Me No., TRUE, TRUE
Forget Me Not, TRUE, TRUE
Forget Me Now, TRUE, TRUE
Forget Our Voices, TRUE, TRUE
Forget The Colors, TRUE, TRUE
Forget Them All, TRUE, TRUE
Forget This, TRUE, TRUE
Forget Us Not, TRUE, TRUE
Forgetful Grid, TRUE, TRUE
Forgetle, TRUE, TRUE
Forget's Ultimate Showdown, TRUE, TRUE
Forteroudo, TRUE, TRUE
Four Corners, TRUE, TRUE
Four Elements, TRUE, TRUE
Four Lights, TRUE, TRUE
Four Operands, TRUE, TRUE
Four-Card Monte, TRUE, TRUE
Foxed Freshly, TRUE, TRUE
Fractal Maze, TRUE, TRUE
Frankenstein's Indicator, TRUE, TRUE
Free Password, TRUE, TRUE
Fried Egg, TRUE, TRUE
Frightened Ghost Movement, TRUE, TRUE
Function Identification, TRUE, TRUE
Functional Mapping, TRUE, TRUE
Fur Cipher, TRUE, TRUE
Fursona, TRUE, TRUE
Futuristic Combo Lock, TRUE, TRUE
Gadgetron Vendor, TRUE, TRUE
Game Changer, TRUE, TRUE
Game of Ants, TRUE, TRUE
Game of Colors, TRUE, TRUE
